Feature,Score
customerID_7018-WBJNK,0.008421890982297286
customerID_6650-VJONK,0.008417723179096948
customerID_6362-QHAFM,0.008391316604060117
customerID_2262-SLNVK,0.0083861765961748
customerID_2546-KZAAT,0.008380088433932675
customerID_8185-UPYBR,0.008376395070022857
customerID_3662-FXJFO,0.008374758701597873
customerID_6969-MVBAI,0.008373176114490732
customerID_8309-IEYJD,0.008371520443476665
customerID_4615-PIVVU,0.008367329164136628
customerID_6124-ACRHJ,0.008355277863087984
customerID_6034-ZRYCV,0.008348306657160354
customerID_8441-SHIPE,0.00832404809199283
SeniorCitizen,0.008300133167518764
customerID_3266-FTKHB,0.008295808104061386
customerID_4510-PYUSH,0.00829556715270341
customerID_4822-YCXMX,0.008278714001032972
customerID_1219-NNDDO,0.00826658971542038
customerID_7957-RYHQD,0.00825128025010824
customerID_5696-QURRL,0.008247693079490803
customerID_1031-IIDEO,0.008247005425745524
customerID_2058-DCJBE,0.00824107902696447
customerID_8221-EQDGL,0.008236611483908085
customerID_1915-OAKWD,0.008236001507125001
customerID_2135-DQWAQ,0.008222013206582002
customerID_6188-UXBBR,0.008207875588333913
customerID_1589-AGTLK,0.008201637201410206
customerID_3858-VOBET,0.008200475428249643
customerID_6100-FJZDG,0.008193643343758383
customerID_4877-TSOFF,0.008186388375669207
customerID_4760-THGOT,0.008179166193275522
customerID_9796-MVYXX,0.00817368967924037
customerID_0431-APWVY,0.008133981013848102
customerID_6963-KQYQB,0.008124761033661443
customerID_7298-IZWLY,0.00812041035539024
customerID_2696-NARTR,0.008104959625708341
customerID_9677-AVKED,0.008103137048589115
customerID_0136-IFMYD,0.008101312787371917
customerID_4690-PKDQG,0.008083263555964448
customerID_7129-AZJDE,0.008070047550973625
customerID_6833-JMZYP,0.008055502829879435
customerID_5656-MJEFC,0.008051030611470944
customerID_4797-AXPXK,0.008041617855007344
customerID_7996-MHXLW,0.008037420286260533
customerID_9589-ABEPT,0.008032223653362758
customerID_0871-OPBXW,0.008031915742051643
customerID_1842-EZJMK,0.008026702608429304
customerID_2908-WGAXL,0.008024652093948648
customerID_6217-TOWGS,0.008013244324547308
customerID_8058-INTPH,0.008001084352377008
customerID_0851-DFJKB,0.007999537561394154
customerID_4860-YZGZM,0.007993384660371472
customerID_1777-JYQPJ,0.007985335584448361
customerID_2685-SREOM,0.007978716906939631
customerID_5834-ASPWA,0.007974538250942187
customerID_1866-OBPNR,0.007967222169942945
customerID_2311-QYMUQ,0.007965219612775742
customerID_8714-CTZJW,0.00795649730480652
customerID_2208-UGTGR,0.007951272127329156
customerID_9114-VEPUF,0.007950973880571421
customerID_8012-SOUDQ,0.007943183017827815
customerID_5242-UOWHD,0.00794096723620985
customerID_1450-GALXR,0.007940575367374025
customerID_6691-CCIHA,0.007934524671246335
customerID_9225-BZLNZ,0.007933202885963997
tenure_group_Loyal,0.007930777855972071
customerID_5522-JBWMO,0.007924918037405693
customerID_6394-MFYNG,0.007911838050157938
customerID_3540-RZJYU,0.007901595015334495
customerID_6851-WEFYX,0.007893780479698354
customerID_4377-VDHYI,0.007893401374682085
customerID_1310-QRITU,0.007892570973125679
customerID_7951-QKZPL,0.007884503828088363
customerID_8378-LKJAF,0.007883070605307019
customerID_2640-PMGFL,0.007865235822041905
customerID_4818-DRBQT,0.00786303387815912
customerID_1830-GGFNM,0.007855937102820398
customerID_2690-DVRVK,0.007851396486700635
customerID_5244-IRFIH,0.007848339742982047
customerID_9819-FBNSV,0.007843924292323168
customerID_0975-UYDTX,0.007842913791555661
customerID_2162-FRZAA,0.007838677906272018
customerID_3896-RCYYE,0.007837642881523221
customerID_7203-OYKCT,0.007822714422455856
customerID_1173-XZPYF,0.007816932504707053
customerID_2085-BOJKI,0.007799967433252286
customerID_6627-CFOSN,0.007798635373440943
customerID_8104-OSKWT,0.007794749022157266
customerID_7691-KGKGP,0.007789596322879122
